 Netflix Genre;DVD or Instant;URL
African-American Action Comedies;Instant Watch;https://www.netflix.com/browse/genre/44050
African-American Action Thrillers;Instant Watch;https://www.netflix.com/browse/genre/43342
African-American Biographical Documentaries;Instant Watch;https://www.netflix.com/browse/genre/7291
African-American Biographical Movies;Instant Watch;https://www.netflix.com/browse/genre/9734
African-American Buddy Comedies;Instant Watch;https://www.netflix.com/browse/genre/27493
African-American Buddy Movies;Instant Watch;https://www.netflix.com/browse/genre/27919
African-American Children & Family Movies;Instant Watch;https://www.netflix.com/browse/genre/10929
African-American Comedies;DVD;https://dvd.netflix.com/Genre/Comedy/307/African-American-Comedies/2372
African-American Comedies;Instant Watch;https://www.netflix.com/browse/genre/4906
African-American Comedies from the 1970s;Instant Watch;https://www.netflix.com/browse/genre/4062
African-American Comedy Jams;Instant Watch;https://www.netflix.com/browse/genre/78296
African-American Comics;Instant Watch;https://www.netflix.com/browse/genre/10778
African-American Crime Action & Adventure;Instant Watch;https://www.netflix.com/browse/genre/3053
African-American Crime Comedies;Instant Watch;https://www.netflix.com/browse/genre/177
African-American Crime Documentaries;Instant Watch;https://www.netflix.com/browse/genre/1
African-American Crime Dramas;Instant Watch;https://www.netflix.com/browse/genre/3959
African-American Crime Movies;Instant Watch;https://www.netflix.com/browse/genre/6437
African-American Crime Social & Cultural Documentaries;Instant Watch;https://www.netflix.com/browse/genre/6989
African-American Crime Thrillers;Instant Watch;https://www.netflix.com/browse/genre/9729
African-American Documentaries;DVD;https://dvd.netflix.com/Genre/Documentary/864/African-American-Documentaries/2373
African-American Documentaries;Instant Watch;https://www.netflix.com/browse/genre/6324
African-American Dramas;DVD;https://dvd.netflix.com/Genre?sgid=2374
African-American Dramas;Instant Watch;https://www.netflix.com/browse/genre/9847
African-American Dramas based on Books;Instant Watch;https://www.netflix.com/browse/genre/4330
African-American Dramas Featuring a Strong Female Lead;Instant Watch;https://www.netflix.com/browse/genre/23286
African-American Drug Dramas;Instant Watch;https://www.netflix.com/browse/genre/20573
African-American Drug Movies;Instant Watch;https://www.netflix.com/browse/genre/20989
African-American Faith & Spirituality Movies;Instant Watch;https://www.netflix.com/browse/genre/53616
African-American Faith and Spirituality;Instant Watch;https://www.netflix.com/browse/genre/27754
African-American Family Reunion Movies;Instant Watch;https://www.netflix.com/browse/genre/81688
African-American Father-Son Movies;Instant Watch;https://www.netflix.com/browse/genre/19367
African-American Fight-the-System Movies;Instant Watch;https://www.netflix.com/browse/genre/27332
African-American Gangster Action & Adventure;Instant Watch;https://www.netflix.com/browse/genre/76864
African-American Gangster Movies;Instant Watch;https://www.netflix.com/browse/genre/29437
African-American High School Movies;Instant Watch;https://www.netflix.com/browse/genre/20904
African-American Historical Documentaries;Instant Watch;https://www.netflix.com/browse/genre/10639
